     2017-01-10	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      B-NP	         O	              -	(S1(X(NP(NP*
           Dies	       NNP	      E-NP	         O	              -	*)
             Of	        IN	      S-PP	         O	              -	(PP*
           Self	       NNP	      B-NP	         O	              -	(NP*)))
              -	         :	      I-NP	         O	              -	*
      Inflicted	       VBN	      I-NP	         O	              -	(S(VP*
        Gunshot	       NNP	      I-NP	         O	              -	(NP*
          Wound	       NNP	      E-NP	         O	              -	*)))))

             In	        IN	      S-PP	         O	              -	(S1(PP(ADVP*)
       Valencia	       NNP	      S-NP	     S-LOC	              -	(NP*)))

         Mental	        JJ	      B-NP	         O	              -	      B-A0	      B-A0	      B-A1	         O	(S1(S(NP*
         health	        NN	      I-NP	         O	              -	      I-A0	      I-A0	      I-A1	         O	*
      officials	       NNS	      E-NP	         O	              -	      E-A0	      E-A0	      I-A1	         O	*)
            are	       VBP	      B-VP	         O	              -	         O	         O	      I-A1	         O	(VP*
        working	       VBG	      I-VP	         O	        working	       S-V	         O	      I-A1	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	      I-A1	         O	(S(VP*
          raise	        VB	      E-VP	         O	          raise	      I-A1	       S-V	      I-A1	         O	(VP*
      awareness	        NN	      S-NP	         O	              -	      I-A1	      B-A1	      I-A1	         O	(NP(NP*)
          about	        IN	      S-PP	         O	              -	      I-A1	      I-A1	      I-A1	         O	(PP*
      community	        NN	      B-NP	         O	              -	      I-A1	      I-A1	      I-A1	         O	(NP*
      resources	       NNS	      E-NP	         O	              -	      E-A1	      E-A1	      I-A1	         O	*)))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	  B-AM-TMP	      I-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      B-A0	(NP*
        14-year	        JJ	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	(ADJP*
              -	         :	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	*
            old	        JJ	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	*)
            boy	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      E-A1	      E-A0	*)))))))
            was	       VBD	      B-VP	         O	              -	  I-AM-TMP	  I-AM-TMP	         O	         O	(VP*
          found	       VBN	      E-VP	         O	          found	  I-AM-TMP	  I-AM-TMP	       S-V	         O	(VP*
           dead	        JJ	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	  B-AM-TMP	         O	(NP(NP(NP*
         Sunday	       NNP	      E-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	  E-AM-TMP	         O	*)
           from	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-TMP	      B-A3	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	(NP*
           self	        NN	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	*
              -	         :	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	*)))
      inflicted	       VBN	      I-NP	         O	      inflicted	  I-AM-TMP	  I-AM-TMP	      I-A3	       S-V	(VP*
        gunshot	        NN	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	      B-A1	(NP*
          wound	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-TMP	      E-A3	      E-A1	*)))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	         O	(S1(S(NP*
          death	        NN	      E-NP	         O	              -	         O	*)
             is	       VBZ	      S-VP	         O	              -	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A0	(NP(NP*
         second	        JJ	      E-NP	         O	              -	      E-A0	*)
      suspected	       VBN	      S-VP	         O	      suspected	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	      B-A2	(PP*
           such	        JJ	      B-NP	         O	              -	      I-A2	(NP(NP*
          means	       NNS	      E-NP	         O	              -	      E-A2	*)
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
           2017	        CD	      S-NP	         O	              -	  E-AM-TMP	(NP*)))))))
              .	         .	         O	         O	              -	         O	*))

            The	        DT	      B-NP	         O	              -	         O	      B-A1	(S1(S(S(NP(NP*
           post	        VB	      E-VP	         O	           post	         O	         O	    I-C-A1	         O	         O	       S-V	         O	(VP*
              -	         :	         O	         O	              -	         O	         O	    I-C-A1	         O	         O	         O	         O	*
   intervention	        NN	      B-NP	         O	              -	         O	         O	    I-C-A1	         O	         O	      B-A1	      B-A0	(NP(NP(NP*
       services	       NNS	      E-NP	         O	              -	         O	         O	    I-C-A1	         O	         O	      I-A1	      I-A0	*)
            for	        IN	      S-PP	         O	              -	         O	         O	    I-C-A1	         O	         O	      I-A1	      I-A0	(PP*
         family	        NN	      B-NP	         O	              -	         O	         O	    I-C-A1	         O	         O	      I-A1	      I-A0	(NP*
       who’ve	        NN	      E-NP	         O	              -	         O	         O	    I-C-A1	         O	         O	      I-A1	      E-A0	*)))
       survived	       VBD	      S-VP	         O	       survived	         O	         O	    I-C-A1	         O	         O	      I-A1	       S-V	(VP*
        suicide	        NN	      S-NP	         O	              -	         O	         O	    E-C-A1	         O	         O	      E-A1	      S-A1	(NP*))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*))

            ”	       SYM	         O	         O	              -	(S1(NP*))

      Officials	       NNS	      S-NP	         O	              -	         O	      B-A0	      B-A0	         O	(S1(S(NP(NP*)
             at	        IN	      S-PP	         O	              -	         O	      I-A0	      I-A0	         O	(PP*
        College	       NNP	      S-NP	     B-ORG	              -	         O	      I-A0	      I-A0	         O	(NP(NP(NP*)
             of	        IN	      S-PP	     I-ORG	              -	         O	      I-A0	      I-A0	         O	(PP*
            the	        DT	      B-NP	     I-ORG	              -	      B-A0	      I-A0	      I-A0	         O	(NP*
        Canyons	      NNPS	      E-NP	     E-ORG	              -	      E-A0	      I-A0	      E-A0	         O	*)))
              ,	         ,	         O	         O	              -	         O	      I-A0	         O	         O	*
          which	       WDT	      S-NP	         O	              -	    S-R-A0	      I-A0	         O	         O	(SBAR(WHNP*)
          hosts	       VBZ	      S-VP	         O	          hosts	       S-V	      I-A0	         O	         O	(S(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	      I-A0	         O	         O	(NP*
       meetings	       NNS	      E-NP	         O	              -	      E-A1	      I-A0	         O	         O	*)
              ,	         ,	         O	         O	              -	         O	      I-A0	         O	         O	*
             in	        IN	      S-PP	         O	              -	         O	      I-A0	         O	         O	(PP*
     particular	        JJ	      S-NP	         O	              -	         O	      I-A0	         O	         O	(ADJP*)))))
              ,	         ,	         O	         O	              -	         O	      E-A0	         O	         O	*)))
            has	       VBZ	      B-VP	         O	              -	         O	         O	         O	         O	(VP*
        stepped	       VBN	      E-VP	         O	        stepped	         O	       B-V	         O	         O	(VP*
             up	        RP	     S-PRT	         O	              -	         O	       E-V	         O	         O	(ADVP*)
       outreach	        NN	      B-NP	         O	              -	         O	      B-A1	         O	         O	(NP*
        efforts	       NNS	      E-NP	         O	              -	         O	      E-A1	         O	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
          after	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	(SBAR*
      officials	       NNS	      S-NP	         O	              -	         O	         O	      B-A0	         O	(S(NP*)
          there	        RB	      S-NP	         O	              -	         O	         O	      E-A0	         O	(ADVP*)
        learned	       VBD	      S-VP	         O	        learned	         O	         O	       S-V	         O	(VP*
          there	        EX	      S-NP	         O	              -	         O	         O	      B-A1	         O	(SBAR(S(NP*)
           were	       VBD	      S-VP	         O	              -	         O	         O	      I-A1	         O	(VP*
          three	        CD	      B-NP	         O	              -	         O	         O	      I-A1	      B-A0	(NP(NP*
       suicides	       NNS	      E-NP	         O	              -	         O	         O	      I-A1	      E-A0	*)
             by	        IN	      S-PP	         O	              -	         O	         O	      I-A1	         O	(PP*
       students	       NNS	      S-NP	         O	              -	         O	         O	      I-A1	      S-A0	(NP(NP*)
            who	        WP	      S-NP	         O	              -	         O	         O	      I-A1	    S-R-A0	(SBAR(WHNP*)
          never	        RB	    S-ADVP	         O	              -	         O	         O	      I-A1	  S-AM-TMP	(S(ADVP*)
           took	       VBD	      S-VP	         O	           took	         O	         O	      I-A1	       S-V	(VP*
      advantage	        NN	      S-NP	         O	              -	         O	         O	      I-A1	      S-A1	(NP(NP*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A1	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	      I-A1	      I-A2	(NP*
      campus’	        JJ	      I-NP	         O	              -	         O	         O	      I-A1	      I-A2	*
     counseling	        NN	      I-NP	         O	              -	         O	         O	      I-A1	      I-A2	*
      resources	       NNS	      E-NP	         O	              -	         O	         O	      E-A1	      E-A2	*))))))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	         O	         O	(PP*
      officials	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	(NP*))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

          There	        EX	      S-NP	         O	              -	         O	         O	         O	(S1(S(S(NP*)
           were	       VBD	      S-VP	         O	              -	         O	         O	         O	(VP*
           none	        NN	      S-NP	         O	              -	      S-A1	         O	         O	(NP(NP*)
       reported	       VBN	      S-VP	         O	       reported	       S-V	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	(PP*
           2016	        CD	      S-NP	         O	              -	  E-AM-TMP	         O	         O	(NP*))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
            but	        CC	         O	         O	              -	         O	         O	         O	*
      officials	       NNS	      S-NP	         O	              -	         O	      S-A0	      S-A0	(S(NP*)
           have	       VBP	      B-VP	         O	              -	         O	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	         O	         O	(VP*
        closely	        RB	      I-VP	         O	              -	         O	  S-AM-MNR	         O	(ADVP*)
       watching	       VBG	      E-VP	         O	       watching	         O	       S-V	         O	(VP(VP*
            the	        DT	      B-NP	         O	              -	         O	      B-A1	         O	(NP*
          issue	        NN	      E-NP	         O	              -	         O	      E-A1	         O	*))
            and	        CC	         O	         O	              -	         O	         O	         O	*
     continuing	       VBG	      S-VP	         O	     continuing	         O	         O	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	      B-A1	(NP*
      awareness	        NN	      I-NP	         O	              -	         O	         O	      I-A1	*
        efforts	       NNS	      E-NP	         O	              -	         O	         O	      E-A1	*))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

            “	       SYM	         O	         O	              -	(S1(NP*))

        We’re	       NNP	      S-NP	     S-PER	              -	      S-A0	         O	         O	         O	      B-A0	         O	         O	         O	(S1(X(S(NP*)
          doing	       VBG	      S-VP	         O	          doing	       S-V	         O	         O	         O	      I-A0	         O	         O	         O	(VP*
            all	        DT	      S-NP	         O	              -	      S-A1	         O	         O	         O	      I-A0	         O	         O	         O	(NP(NP*)
             we	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A0	         O	      I-A0	         O	         O	         O	(SBAR(S(NP*)
            can	        MD	      B-VP	         O	              -	         O	  S-AM-MOD	         O	         O	      I-A0	         O	         O	         O	(VP*
             to	        TO	      I-VP	         O	              -	         O	         O	         O	         O	      I-A0	         O	         O	         O	(S(VP*
        prevent	        VB	      E-VP	         O	        prevent	         O	       S-V	         O	         O	      I-A0	         O	         O	         O	(VP(VP*
          these	        DT	      B-NP	         O	              -	         O	      B-A1	         O	         O	      I-A0	         O	         O	         O	(NP(NP*
          kinds	       NNS	      E-NP	         O	              -	         O	      I-A1	         O	         O	      I-A0	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	      I-A1	         O	         O	      I-A0	         O	         O	         O	(PP*
         things	       NNS	      S-NP	         O	              -	         O	      E-A1	         O	         O	      I-A0	         O	         O	         O	(NP*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	      I-A0	         O	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	         O	         O	      I-A0	         O	         O	         O	*
        working	       VBG	      S-VP	         O	        working	         O	         O	       S-V	         O	      I-A0	         O	         O	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	  B-AM-MNR	         O	      I-A0	         O	         O	         O	(PP*
      everybody	        NN	      S-NP	         O	              -	         O	         O	  E-AM-MNR	         O	      I-A0	         O	         O	         O	(NP*))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	      I-A0	         O	         O	         O	*
      including	       VBG	      S-PP	         O	      including	         O	         O	         O	       S-V	      I-A0	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	      B-A1	      I-A0	         O	         O	         O	(NP*
        Sheriff	       NNP	      I-NP	     B-ORG	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*
           ’s	        NN	      I-NP	     I-ORG	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*
     Department	       NNP	      E-NP	     E-ORG	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*))))))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	(NP(NP*
       colleges	       NNS	      E-NP	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*)
            our	      PRP$	      B-NP	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	(NP(NP*
          local	        JJ	      I-NP	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	(NX(NX*
      providers	       NNS	      E-NP	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*)
            and	        CC	         O	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	*
            our	      PRP$	      B-NP	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	(NX*
          local	        JJ	      I-NP	         O	              -	         O	         O	         O	      I-A1	      I-A0	         O	         O	         O	(NX*
        schools	       NNS	      E-NP	         O	              -	         O	         O	         O	      E-A1	      I-A0	         O	         O	         O	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	      I-A0	         O	         O	         O	(PRN*
            ”	        JJ	      B-NP	         O	              -	         O	         O	         O	         O	      I-A0	         O	         O	         O	(S(NP*
      Schallert	       NNP	      E-NP	     S-PER	              -	         O	         O	         O	         O	      E-A0	         O	         O	         O	*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	       S-V	         O	         O	         O	(VP*))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	*)
            “	        NN	      S-NP	         O	              -	         O	         O	         O	         O	      B-A1	         O	         O	         O	(NP(NP*)
             to	        TO	      B-VP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	         O	(SBAR(S(VP(VP*
           help	        VB	      I-VP	         O	           help	         O	         O	         O	         O	      I-A1	       S-V	         O	         O	(VP*
        prevent	        VB	      E-VP	         O	        prevent	         O	         O	         O	         O	      I-A1	      B-A1	       S-V	         O	(VP*
          these	        DT	      B-NP	         O	              -	         O	         O	         O	         O	      I-A1	      I-A1	      B-A1	         O	(NP(NP*
          kinds	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	      I-A1	      I-A1	      I-A1	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      I-A1	      I-A1	      I-A1	         O	(PP*
         things	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	      I-A1	      E-A1	      E-A1	         O	(NP*))))))
            and	        CC	         O	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	         O	*
             to	        TO	      B-VP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	         O	(VP*
        respond	        VB	      E-VP	         O	        respond	         O	         O	         O	         O	      I-A1	         O	         O	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	      B-A1	(PP*
         people	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	      I-A1	(NP(NP*)
            who	        WP	      S-NP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	      I-A1	(SBAR(WHNP*)
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	      I-A1	(S(VP*
             in	        IN	      S-PP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	      I-A1	(PP*
         crisis	        NN	      S-NP	         O	              -	         O	         O	         O	         O	      E-A1	         O	         O	      E-A1	(NP*))))))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	*)))

            ”	       SYM	         O	         O	              -	(S1(NP*))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP(NP*
          first	        JJ	      I-NP	         O	              -	      I-A1	*
        suicide	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
           2017	        CD	      S-NP	         O	              -	      E-A1	(NP*)))
           took	       VBD	      S-VP	         O	           took	       S-V	(VP*
          place	        NN	      S-NP	         O	              -	      S-A2	(NP*)
         Friday	       NNP	      S-NP	         O	              -	  B-AM-TMP	(NP(NP*)
              ,	         ,	         O	         O	              -	  I-AM-TMP	*
           Jan.	       NNP	      B-NP	         O	              -	  I-AM-TMP	(NP(NP*
              6	        CD	      E-NP	         O	              -	  E-AM-TMP	*)
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
            Oak	       NNP	      I-NP	    B-MISC	              -	  I-AM-LOC	*
           Tree	       NNP	      I-NP	    I-MISC	              -	  I-AM-LOC	*
            Gun	       NNP	      I-NP	    I-MISC	              -	  I-AM-LOC	*
           Club	       NNP	      E-NP	    E-MISC	              -	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
        Newhall	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	(NP*)))))
              .	         .	         O	         O	              -	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP(NP*
       decedent	        NN	      E-NP	         O	              -	      I-A1	*)
             in	        IN	      S-PP	         O	              -	      I-A1	(PP*
           that	        DT	      B-NP	         O	              -	      I-A1	(NP*
           case	        NN	      E-NP	         O	              -	      E-A1	*)))
            was	       VBD	      B-VP	         O	              -	         O	(VP*
     identified	       VBN	      E-VP	         O	     identified	       S-V	(VP*
             as	        IN	      S-PP	         O	              -	    B-C-A1	(PP*
         Travis	       NNP	      B-NP	     B-PER	              -	    I-C-A1	(NP(NP(NP*
         Paster	       NNP	      E-NP	     E-PER	              -	    I-C-A1	*)
              ,	         ,	         O	         O	              -	    I-C-A1	*
             32	        CD	      S-NP	         O	              -	    I-C-A1	(NP*)
              ,	         ,	         O	         O	              -	    I-C-A1	*)
             of	        IN	      S-PP	         O	              -	    I-C-A1	(PP*
      Lancaster	       NNP	      S-NP	     S-LOC	              -	    E-C-A1	(NP*))))))
              .	         .	         O	         O	              -	         O	*))

         Anyone	        NN	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP(NP*)
        seeking	       VBG	      S-VP	         O	        seeking	       S-V	         O	(VP*
    information	        NN	      S-NP	         O	              -	      B-A1	         O	(NP(NP*)
          about	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
         mental	        JJ	      B-NP	         O	              -	      I-A1	         O	(NP(NP*
         health	        NN	      I-NP	         O	              -	      I-A1	         O	*
      resources	       NNS	      E-NP	         O	              -	      I-A1	         O	*)
      available	        JJ	    S-ADJP	         O	              -	      I-A1	         O	(ADJP*
             in	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A1	(NP*
          Santa	       NNP	      I-NP	     B-LOC	              -	      I-A1	      I-A1	*
        Clarita	       NNP	      I-NP	     I-LOC	              -	      I-A1	      I-A1	*
         Valley	       NNP	      E-NP	     E-LOC	              -	      E-A1	      E-A1	*))))))))
            can	        MD	      B-VP	         O	              -	         O	  S-AM-MOD	(VP*
          click	        VB	      E-VP	         O	          click	         O	       S-V	(VP*
           here	        RB	    S-ADVP	         O	              -	         O	  S-AM-LOC	(ADVP*)
            for	        IN	      S-PP	         O	              -	         O	  B-AM-PNC	(PP*
              a	        DT	      B-NP	         O	              -	         O	  I-AM-PNC	(NP(NP*
           list	        NN	      E-NP	         O	              -	         O	  I-AM-PNC	*)
             of	        IN	      S-PP	         O	              -	         O	  I-AM-PNC	(PP*
      resources	       NNS	      S-NP	         O	              -	         O	  E-AM-PNC	(NP*))))))
              .	         .	         O	         O	              -	         O	         O	*))

          There	        EX	      S-NP	         O	              -	(S1(S(NP*)
            are	       VBP	      S-VP	         O	              -	(VP*
        24-hour	        JJ	      B-NP	         O	              -	(NP*
          phone	        NN	      I-NP	         O	              -	*
        numbers	       NNS	      E-NP	         O	              -	*)
      available	        JJ	    S-ADJP	         O	              -	(ADJP*))
              .	         .	         O	         O	              -	*))

             In	        IN	      S-PP	         O	              -	(S1(S(PP*
            the	        DT	      B-NP	         O	              -	(NP(NP*
          event	        NN	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
             an	        DT	      B-NP	         O	              -	(NP*
      emergency	        NN	      E-NP	         O	              -	*))))
              ,	         ,	         O	         O	              -	*
            911	        CD	      S-NP	         O	              -	(NP*)
         should	        MD	      B-VP	         O	              -	(VP*
         always	        RB	      I-VP	         O	              -	(ADVP*)
             be	        VB	      E-VP	         O	              -	(VP*
            the	        DT	      B-NP	         O	              -	(NP*
          first	        JJ	      I-NP	         O	              -	*
           call	        NN	      E-NP	         O	              -	*)))
              .	         .	         O	         O	              -	*))

          Those	        DT	      S-NP	         O	              -	      S-A0	      S-A0	      B-A1	(S1(NP(NP(NP*)
        looking	       VBG	      S-VP	         O	        looking	       S-V	         O	      I-A1	(VP*
             to	        TO	      B-VP	         O	              -	      B-A1	         O	      I-A1	(S(VP*
          speak	        VB	      E-VP	         O	          speak	      I-A1	       S-V	      I-A1	(VP*
           with	        IN	      S-PP	         O	              -	      I-A1	      B-A1	      I-A1	(SBAR*
        someone	        NN	      S-NP	         O	              -	      I-A1	      I-A1	      E-A1	(S(NP*)
            can	        MD	      B-VP	         O	              -	      I-A1	      I-A1	  S-AM-MOD	(VP*
           call	        VB	      E-VP	         O	           call	      E-A1	      E-A1	       S-V	(VP*)))))))))
              :	         :	         O	         O	              -	         O	         O	         O	*))

