     2017-02-14	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	        NN	      S-NP	         O	              -	      S-A1	(S1(NP(NP*)
       arrested	       VBN	      S-VP	         O	       arrested	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	      B-A2	(PP*
         deadly	        JJ	      B-NP	         O	              -	      I-A2	(NP*
              '	        ''	      I-NP	         O	              -	      I-A2	*
      horseplay	        NN	      I-NP	         O	              -	      I-A2	*
              '	        ''	      I-NP	         O	              -	      I-A2	*
       shooting	        NN	      E-NP	         O	              -	      E-A2	*)))))

            Buy	       NNP	      B-NP	     B-ORG	              -	      B-A0	(S1(S(NP*
          Photo	       NNP	      I-NP	     I-ORG	              -	      I-A0	*
   Indianapolis	       NNP	      I-NP	     E-ORG	              -	      I-A0	*
         police	       NNS	      E-NP	         O	              -	      E-A0	*)
    investigate	       VBP	      S-VP	         O	    investigate	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	(NP(NP*
          scene	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
          fatal	        JJ	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	*)
             at	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
           3600	        CD	      I-NP	         O	              -	      I-A1	*
          block	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
           Glen	       NNP	      B-NP	     B-LOC	              -	      I-A1	(NP(NP*
            Arm	       NNP	      I-NP	     I-LOC	              -	      I-A1	*
           Road	       NNP	      E-NP	     E-LOC	              -	      I-A1	*)
              ,	         ,	         O	         O	              -	      I-A1	*
           Feb.	       NNP	      B-NP	         O	              -	      I-A1	(NP*
             14	        CD	      I-NP	         O	              -	      I-A1	*
              ,	         ,	      I-NP	         O	              -	      I-A1	*
           2017	        CD	      E-NP	         O	              -	      E-A1	*)))))))))
              .	         .	         O	         O	              -	         O	*))

              (	     -LRB-	         O	         O	              -	(S1(S*
          Photo	        NN	      S-NP	         O	              -	(NP*)
              :	         :	         O	         O	              -	*
       Michelle	       NNP	      B-NP	     B-ORG	              -	(NP*
Pemberton/IndyStar)Buy	       NNP	      I-NP	     I-ORG	              -	*
          Photo	       NNP	      E-NP	     E-ORG	              -	*)))

         Update	        NN	      S-NP	         O	              -	         O	         O	(S1(X(NP*)
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	  B-AM-TMP	         O	(PP(PP*
           this	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	         O	(NP*
           time	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-TMP	         O	*))
            the	        DT	      B-NP	         O	              -	      B-A1	      B-A1	         O	(SBAR(S(NP*
         victim	        NN	      E-NP	         O	              -	      I-A1	      E-A1	         O	*)
            may	        MD	      B-VP	         O	              -	      I-A1	  S-AM-MOD	         O	(VP*
           have	        VB	      I-VP	         O	              -	      I-A1	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	      I-A1	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	      I-A1	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-MNR	         O	(PP*
        parking	        NN	      B-NP	         O	              -	      I-A1	  I-AM-MNR	         O	(NP*
            lot	        NN	      E-NP	         O	              -	      I-A1	  E-AM-MNR	         O	*)))))))))))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	*
          there	        EX	      S-NP	         O	              -	      I-A1	         O	         O	(S(NP*)
             's	       VBZ	      S-VP	         O	              -	      I-A1	         O	         O	(VP*
              "	        JJ	      B-NP	         O	              -	      I-A1	         O	         O	(NP(NP*
       evidence	        NN	      E-NP	         O	              -	      I-A1	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
        gunfire	        NN	      S-NP	         O	              -	      E-A1	         O	         O	(NP*)))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
              "	        IN	    S-SBAR	         O	              -	         O	         O	         O	(SBAR*
      Gillespie	       NNP	      S-NP	     S-PER	              -	         O	         O	      S-A0	(S(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*)))
              .	         .	         O	         O	              -	         O	         O	         O	*))

            —	        NN	      B-NP	         O	              -	(S1(NP(NP*
          Holly	       NNP	      I-NP	     B-PER	              -	*
           Hays	       NNP	      E-NP	     E-PER	              -	*)
              (	     -LRB-	         O	         O	              -	(PRN*
    @hollyvhays	       NNS	      S-NP	         O	              -	(NP*)
              )	     -RRB-	         O	         O	              -	*)
       February	       NNP	      B-NP	         O	              -	(NP*
             15	        CD	      I-NP	         O	              -	*
              ,	         ,	      I-NP	         O	              -	*
           2017	        CD	      E-NP	         O	              -	*)))

              #	       SYM	      B-NP	         O	              -	         O	         O	(S1(NP(NP*
        IMPDNOW	       NNP	      E-NP	     S-LOC	              -	         O	         O	*)
              :	         :	         O	         O	              -	         O	         O	*
       Homicide	        NN	      B-NP	         O	              -	      B-A0	         O	(S(NP*
     detectives	       NNS	      E-NP	         O	              -	      E-A0	         O	*)
     responding	       VBG	      S-VP	         O	     responding	       S-V	         O	(VP(VP*
             to	        TO	      S-PP	         O	              -	      B-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	(NP*
         person	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*
           shot	        NN	      B-VP	         O	              -	      E-A1	         O	*)))
            and	        CC	      I-VP	         O	              -	         O	         O	*
         killed	       VBN	      E-VP	         O	         killed	         O	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	         O	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	         O	  I-AM-LOC	(NP*
           3600	        CD	      I-NP	         O	              -	         O	  I-AM-LOC	*
            blk	        NN	      I-NP	         O	              -	         O	  I-AM-LOC	*
           Glen	       NNP	      I-NP	     B-ORG	              -	         O	  I-AM-LOC	*
            Arm	       NNP	      I-NP	     I-ORG	              -	         O	  I-AM-LOC	*
             Rd	       NNP	      E-NP	     E-ORG	              -	         O	  E-AM-LOC	*)))))
              .	         .	         O	         O	              -	         O	         O	*))

        Details	       NNS	      S-NP	         O	              -	(S1(NP(NP*)
    forthcoming	        JJ	    S-ADJP	         O	              -	(NP*
              ,	         ,	         O	         O	              -	*
            PIO	       NNP	      S-NP	    S-MISC	              -	*
        enroute	        RB	    S-ADVP	         O	              -	*)
              .	         .	         O	         O	              -	*))

            —	       SYM	      B-NP	         O	              -	(S1(NP(NP*
           IMPD	       NNP	      E-NP	         O	              -	*)
              (	     -LRB-	         O	         O	              -	(PRN*
     @IMPD_News	       NNS	      S-NP	     S-LOC	              -	(NP*)
              )	     -RRB-	         O	         O	              -	*)
       February	       NNP	      B-NP	         O	              -	(NP*
             14	        CD	      I-NP	         O	              -	*
              ,	         ,	      I-NP	         O	              -	*
           2017	        CD	      E-NP	         O	              -	*)))

           This	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
          story	        NN	      E-NP	         O	              -	      E-A1	*)
           will	        MD	      B-VP	         O	              -	  S-AM-MOD	(VP*
             be	        VB	      I-VP	         O	              -	         O	(VP*
        updated	       VBN	      E-VP	         O	        updated	       S-V	(VP*)))
              .	         .	         O	         O	              -	         O	*))

           Call	       NNP	      B-NP	         O	              -	(S1(S(NP*
       IndyStar	       NNP	      I-NP	     S-ORG	              -	*
       reporter	        NN	      I-NP	         O	              -	*
          Holly	       NNP	      I-NP	     B-PER	              -	*
           Hays	       NNP	      E-NP	     E-PER	              -	*)
             at	        IN	      S-PP	         O	              -	(PP*
              (	     -LRB-	         O	         O	              -	(NP*
            317	        CD	      S-NP	         O	              -	*
              )	     -RRB-	         O	         O	              -	*
            444	        CD	      S-NP	         O	              -	*
              -	         :	         O	         O	              -	*
           6156	        CD	      S-NP	         O	              -	*))
              .	         .	         O	         O	              -	*))

         Follow	        VB	      S-VP	         O	         Follow	       S-V	(S1(VP*
            her	       PRP	      S-NP	         O	              -	      S-A1	(NP(NP(NP*)
             on	        IN	      S-PP	         O	              -	      B-A2	(PP*
        Twitter	       NNP	      S-NP	    S-MISC	              -	      E-A2	(NP*)))
              :	         :	         O	         O	              -	         O	*
    @hollyvhays	       NNS	      S-NP	         O	              -	      S-A2	(NP*)
              .	         .	         O	         O	              -	         O	*)))

           Read	       NNP	      B-NP	         O	              -	(S1(X(NP*
             or	        CC	      I-NP	         O	              -	*
          Share	       NNP	      E-NP	         O	              -	*)
           this	        DT	      B-NP	         O	              -	(NP(NP*
          story	        NN	      E-NP	         O	              -	*)
              :	         :	         O	         O	              -	*
http://indy.st/2lNcs6l	        NN	      S-NP	         O	              -	(NP*))))

