     2017-02-09	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
       identify	       VBP	      S-VP	         O	       identify	       S-V	(VP*
          three	        CD	    B-ADJP	         O	              -	      B-A1	(NP(NP*)
       possibly	        RB	    I-ADJP	         O	              -	      I-A1	(ADVP*)
    responsible	        JJ	    E-ADJP	         O	              -	      I-A1	(ADJP*
            for	        IN	      S-PP	         O	              -	      I-A1	(PP*
         deadly	        JJ	      B-NP	         O	              -	      I-A1	(NP*
           East	       NNP	      I-NP	     B-LOC	              -	      I-A1	*
      Cleveland	       NNP	      I-NP	     E-LOC	              -	      I-A1	*
            bar	        NN	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      E-A1	*)))))))

           EAST	       NNP	      B-NP	     B-LOC	              -	      B-A0	         O	(S1(S(NP(NP*
         people	       NNS	      S-NP	         O	              -	(NP*))))
              .	         .	         O	         O	              -	*))

      Witnesses	       NNS	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
           have	       VBP	      B-VP	         O	              -	         O	(VP*
       assisted	       VBN	      E-VP	         O	       assisted	       S-V	(VP*
         police	       NNS	      S-NP	         O	              -	      S-A1	(NP*)
             in	        IN	      S-PP	         O	              -	      B-A2	(PP*
          their	      PRP$	      B-NP	         O	              -	      I-A2	(NP*
  investigation	        NN	      E-NP	         O	              -	      E-A2	*))))
              .	         .	         O	         O	              -	         O	*))

