     2017-04-04	        CD	      S-NP	         O	              -	(S1(NP*))

            Two	        CD	      B-NP	         O	              -	      B-A0	         O	(S1(NP(NP(NP*
           shot	        NN	      E-NP	         O	              -	      I-A0	         O	*)
             in	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
         Austin	       NNP	      S-NP	     S-LOC	              -	      I-A0	         O	(NP*)))
              :	         :	         O	         O	              -	      I-A0	         O	*
              '	        ''	         O	         O	              -	      I-A0	         O	(S*
            The	        DT	      B-NP	         O	              -	      I-A0	         O	(NP*
          world	        NN	      E-NP	         O	              -	      E-A0	         O	*)
          needs	       VBZ	      S-VP	         O	          needs	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	  B-AM-PNC	         O	(S(VP*
            see	        VB	      E-VP	         O	            see	  I-AM-PNC	       S-V	(VP*
             it	       PRP	      S-NP	         O	              -	  E-AM-PNC	      S-A1	(NP*)))))
              '	        ''	         O	         O	              -	         O	         O	*)))

           Dion	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(S1(S(NP*
         Stokes	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	*
        playing	       VBG	      E-VP	         O	        playing	       S-V	         O	*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
           game	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
         mobile	        JJ	      I-NP	         O	              -	  I-AM-LOC	         O	*
          phone	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	*))
          early	        JJ	      B-NP	         O	              -	  B-AM-TMP	         O	*
      Wednesday	       NNP	      E-NP	         O	              -	  E-AM-TMP	         O	(NP*)
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	         O	(WHADVP*)
        gunfire	        NN	      S-NP	         O	              -	  I-AM-TMP	      S-A1	(NP*)
        erupted	       VBD	      S-VP	         O	        erupted	  I-AM-TMP	       S-V	*
           near	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           Side	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           home	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
         Austin	       NNP	      I-NP	     S-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	*))))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(S(ADVP*)
              I	       PRP	      S-NP	         O	              -	      S-A1	         O	(NP*)
            got	       VBD	      S-VP	         O	            got	       B-V	         O	(VP*
           down	        RB	    S-ADVP	         O	              -	       E-V	         O	(ADVP*)))
              ,	         ,	         O	         O	              -	         O	         O	*
              "	        FW	      B-NP	         O	              -	         O	         O	(NP*
         Stokes	       NNP	      E-NP	     S-PER	              -	         O	      S-A0	*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

              "	        LS	         O	         O	              -	         O	(S1(X(X*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      B-A0	      I-A1	(NP*
       shooting	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      E-A0	      I-A1	*))))
          early	        JJ	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	  B-AM-TMP	      I-A1	(NP*
          April	       NNP	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	  I-AM-TMP	      I-A1	*
              5	        CD	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	  I-AM-TMP	      I-A1	*
              ,	         ,	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	  I-AM-TMP	      I-A1	*
           2017	        CD	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	  E-AM-TMP	      I-A1	*))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	         O	      I-A1	*
           that	       WDT	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	    S-R-A0	      I-A1	(SBAR(WHNP*)
        wounded	       VBD	      S-VP	         O	        wounded	         O	         O	         O	         O	         O	         O	  I-AM-LOC	       S-V	      I-A1	(S(VP*
              a	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      B-A1	      I-A1	(NP(NP*
        16-year	        JJ	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	*)
              -	         :	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	(NP(NP*
            boy	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	*)
            and	        CC	         O	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	*
              a	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	(NP*
        19-year	        JJ	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	  I-AM-LOC	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	  E-AM-LOC	      E-A1	      E-A1	*))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	         O	         O	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	*))

        Casings	       NNS	      S-NP	         O	              -	      S-A1	         O	      B-A1	(S1(S(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	         O	      I-A1	(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	         O	      I-A1	(VP(VP*
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	      I-A1	(NP*
         ground	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	      I-A1	*))
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	      I-A1	(NP(NP*
          scene	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A0	      I-A1	(NP*
       shooting	        NN	      I-NP	         O	              -	  I-AM-TMP	      E-A0	      I-A1	*))))
          early	        JJ	      I-NP	         O	              -	  I-AM-TMP	         O	      I-A1	(NP*
          April	       NNP	      I-NP	         O	              -	  I-AM-TMP	         O	      I-A1	*
              5	        CD	      I-NP	         O	              -	  I-AM-TMP	         O	      I-A1	*
              ,	         ,	      I-NP	         O	              -	  I-AM-TMP	         O	      I-A1	*
           2017	        CD	      E-NP	         O	              -	  E-AM-TMP	         O	      I-A1	*))
              ,	         ,	         O	         O	              -	         O	         O	      I-A1	*
           that	       WDT	      S-NP	         O	              -	    B-C-A1	    S-R-A0	      I-A1	(SBAR(WHNP*)
        wounded	       VBD	      S-VP	         O	        wounded	    I-C-A1	       S-V	      I-A1	(S(VP*
              a	        DT	      B-NP	         O	              -	    I-C-A1	      B-A1	      I-A1	(NP(NP*
        16-year	        JJ	      I-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	*)
              -	         :	      I-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	(NP(NP*
            boy	        NN	      E-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	*)
            and	        CC	         O	         O	              -	    I-C-A1	      I-A1	      I-A1	*
              a	        DT	      B-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	(NP*
        19-year	        JJ	      I-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	    I-C-A1	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	    E-C-A1	      E-A1	      E-A1	*)))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	*))

              (	     -LRB-	         O	         O	              -	(S1(NP*
          Elvia	       NNP	      B-NP	     B-PER	              -	(NP*
        Malagon	       NNP	      E-NP	     E-PER	              -	*)
              /	         :	         O	         O	              -	*
        Chicago	       NNP	      B-NP	     B-LOC	              -	(NP(NP*
        Tribune	       NNP	      E-NP	     E-LOC	              -	*
              )	     -RRB-	         O	         O	              -	*)
              (	     -LRB-	         O	         O	              -	*
          Elvia	       NNP	      B-NP	     B-PER	              -	(NP*
        Malagon	       NNP	      E-NP	     E-PER	              -	*)
              /	         :	         O	         O	              -	*
        Chicago	       NNP	      B-NP	     B-ORG	              -	(NP*
        Tribune	       NNP	      E-NP	     E-ORG	              -	*
              )	     -RRB-	         O	         O	              -	*
        NEWLINE	       NNP	      S-NP	     S-ORG	              -	*))))

              "	        IN	    S-SBAR	         O	              -	         O	(S1(S(ADVP*)
        Someone	        NN	      S-NP	         O	              -	      S-A1	(NP*)
           died	       VBD	      S-VP	         O	           died	       S-V	(VP*
              ?	         .	         O	         O	              -	         O	*
              "	         .	         O	         O	              -	         O	(NP*))))

              a	        DT	      B-NP	         O	              -	      B-A0	(S1(NP(NP*
        67-year	        JJ	      I-NP	         O	              -	      I-A0	*
              -	         :	      I-NP	         O	              -	      I-A0	*
            old	        JJ	      I-NP	         O	              -	      I-A0	*
          woman	        NN	      E-NP	         O	              -	      E-A0	*)
          asked	       VBD	      S-VP	         O	          asked	       S-V	(VP*
      Stokes’	       NNP	      B-NP	     S-PER	              -	      B-A2	(NP*
          uncle	        NN	      E-NP	         O	              -	      I-A2	*
              .	         .	         O	         O	              -	      I-A2	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A2	*))))

              "	        ``	         O	         O	              -	      B-A0	         O	(S1(X(S(NP*
              I	       PRP	      S-NP	         O	              -	      I-A0	         O	*
        don’t	        NN	      S-NP	         O	              -	      E-A0	         O	*)
           know	       VBP	      S-VP	         O	           know	       S-V	         O	(VP*))
              ,	         ,	         O	         O	              -	         O	         O	(PRN*
              "	        IN	    S-SBAR	         O	              -	         O	         O	(SBAR*
             he	       PRP	      S-NP	         O	              -	         O	      S-A0	(S(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)))
              .	         .	         O	         O	              -	         O	         O	*)
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

              "	        ``	         O	         O	              -	      B-A1	(S1(S(ADVP*
             Oh	        UH	         O	         O	              -	      I-A1	*)
              ,	         ,	         O	         O	              -	      I-A1	*
             my	      PRP$	      B-NP	         O	              -	      I-A1	(NP*
            God	       NNP	      E-NP	     S-PER	              -	      E-A1	*)
              ,	         ,	         O	         O	              -	         O	*
              "	        IN	    S-SBAR	         O	              -	         O	(SBAR*
            she	       PRP	      S-NP	         O	              -	      S-A0	(S(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	(VP*)))
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	       S-V	(NP*)))

            The	        DT	      B-NP	         O	              -	      B-A0	         O	      B-A0	         O	(S1(S(NP(NP*
          woman	        NN	      E-NP	         O	              -	      E-A0	         O	      I-A0	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	      I-A0	         O	*
            who	        WP	      S-NP	         O	              -	    S-R-A0	         O	      I-A0	         O	(SBAR(WHNP*)
           also	        RB	    S-ADVP	         O	              -	  S-AM-DIS	         O	      I-A0	         O	(S(ADVP*)
            did	       VBD	      B-VP	         O	              -	         O	         O	      I-A0	         O	(VP*
            not	        RB	      I-VP	         O	              -	  S-AM-NEG	         O	      I-A0	         O	*
           want	        VB	      I-VP	         O	           want	       S-V	         O	      I-A0	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	      I-A0	         O	(S(VP*
             be	        VB	      I-VP	         O	              -	      I-A1	         O	      I-A0	         O	(VP*
     identified	       VBN	      E-VP	         O	     identified	      E-A1	       S-V	      I-A0	         O	(VP*))))))))
              ,	         ,	         O	         O	              -	         O	         O	      E-A0	         O	*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	         O	(VP*
            she	       PRP	      S-NP	         O	              -	         O	         O	      B-A1	         O	(SBAR(S(NP*)
            was	       VBD	      S-VP	         O	              -	         O	         O	      I-A1	         O	(VP*
             in	        IN	      S-PP	         O	              -	         O	         O	      I-A1	         O	(PP*
            bed	        NN	      S-NP	         O	              -	         O	         O	      I-A1	         O	(NP*))
           when	       WRB	    S-ADVP	         O	              -	         O	         O	      I-A1	         O	(SBAR(WHADVP*)
            she	       PRP	      S-NP	         O	              -	         O	         O	      I-A1	      S-A0	(S(NP*)
          heard	       VBD	      S-VP	         O	          heard	         O	         O	      I-A1	       S-V	(VP*
        several	        JJ	      B-NP	         O	              -	         O	         O	      I-A1	      B-A1	(NP*
       gunshots	       NNS	      E-NP	         O	              -	         O	         O	      E-A1	      E-A1	*))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	         O	(NP*)))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(ADVP*)
              I	       PRP	      S-NP	         O	              -	      S-A0	         O	(NP*)
           just	        RB	    S-ADVP	         O	              -	  S-AM-TMP	         O	(ADVP*)
          heard	       VBD	      S-VP	         O	          heard	       S-V	         O	*
              '	        ''	      B-NP	         O	              -	         O	         O	*
           bing	        NN	      E-NP	         O	              -	         O	         O	*
              ,	         ,	         O	         O	              -	         O	         O	(PRN*
           bing	       VBG	      B-NP	         O	              -	         O	         O	(NP*
           bing	        NN	      E-NP	         O	              -	         O	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	*
              '	        ''	         O	         O	              -	         O	         O	*)
              "	        IN	    S-SBAR	         O	              -	         O	         O	(VP*
            she	       PRP	      S-NP	         O	              -	         O	      S-A0	(NP*))
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(ADVP(ADVP*)
              I	       PRP	      S-NP	         O	              -	      S-A0	      S-A1	(SBAR(S(NP*)
       didn’t	       VBP	      B-VP	         O	       didn’t	       S-V	         O	*
           dare	        MD	      I-VP	         O	              -	         O	         O	(VP*
             go	        VB	      E-VP	         O	             go	         O	       S-V	(S(VP*
             to	        TO	      S-PP	         O	              -	         O	      B-A4	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A4	(NP*
           door	        NN	      E-NP	         O	              -	         O	      E-A4	*))))
              ,	         ,	         O	         O	              -	         O	         O	*
             no	        DT	      B-NP	         O	              -	         O	         O	(NP*
            way	        NN	      E-NP	         O	              -	         O	         O	*)))))
              .	         .	         O	         O	              -	         O	         O	*
              "	        ''	         O	         O	              -	         O	      B-A1	(NP*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	      E-A1	*)))

             It	       PRP	      S-NP	         O	              -	         O	(S1(S(NP*)
            was	       VBD	      S-VP	         O	              -	         O	(VP*
            the	        DT	      B-NP	         O	              -	         O	(NP(NP*
         second	        JJ	      I-NP	         O	              -	         O	*
           time	        NN	      E-NP	         O	              -	         O	*)
             in	        IN	      S-PP	         O	              -	         O	(PP*
           less	       JJR	      B-NP	         O	              -	         O	(NP(QP*
           than	        IN	      I-NP	         O	              -	         O	*
             24	        CD	      I-NP	         O	              -	         O	*)
          hours	       NNS	      E-NP	         O	              -	         O	*))
           that	        IN	    S-SBAR	         O	              -	         O	(SBAR*
            she	       PRP	      S-NP	         O	              -	      S-A0	(S(NP*)
            had	       VBD	      B-VP	         O	              -	         O	(VP*
          heard	       VBN	      E-VP	         O	          heard	       S-V	(VP*
        gunfire	        NN	      S-NP	         O	              -	      S-A1	(NP*)
        outside	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            her	      PRP$	      B-NP	         O	              -	  I-AM-LOC	(NP*
           home	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))))))
              .	         .	         O	         O	              -	         O	*))

      Wednesday	       NNP	      B-NP	         O	              -	  B-AM-TMP	         O	         O	(S1(S(NP*
      afternoon	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	         O	*)
            she	       PRP	      S-NP	         O	              -	      S-A0	         O	         O	(NP*)
          heard	       VBD	      S-VP	         O	          heard	       S-V	         O	         O	(VP*
        another	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP(NP*
            set	        NN	      E-NP	         O	              -	      I-A1	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
       gunshots	       NNS	      S-NP	         O	              -	      I-A1	      S-A1	         O	(NP*))
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A1	         O	(SBAR(WHNP*)
        sounded	       VBD	      S-VP	         O	        sounded	      I-A1	       S-V	         O	(S(VP*
           like	        IN	      S-PP	         O	              -	      I-A1	      B-A2	         O	(SBAR*
           they	       PRP	      S-NP	         O	              -	      I-A1	      I-A2	      S-A1	(S(NP*)
           were	       VBD	      B-VP	         O	              -	      I-A1	      I-A2	         O	(VP*
         coming	       VBG	      E-VP	         O	         coming	      I-A1	      I-A2	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	      I-A1	      I-A2	      B-A2	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	      I-A2	      I-A2	(NP(NP*
          block	        NN	      I-NP	         O	              -	      I-A1	      I-A2	      I-A2	*
           west	        NN	      E-NP	         O	              -	      I-A1	      I-A2	      I-A2	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A2	      I-A2	(PP*
            her	      PRP$	      B-NP	         O	              -	      I-A1	      I-A2	      I-A2	(NP*
           home	        NN	      I-NP	         O	              -	      E-A1	      E-A2	      E-A2	*
              .	         .	      I-NP	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	         O	         O	*)))))))))))))))

            She	       PRP	      S-NP	         O	              -	         O	      B-A1	(S1(S(S(NP*)
             is	       VBZ	      S-VP	         O	              -	         O	      I-A1	(VP*
            one	        CD	      S-NP	         O	              -	         O	      I-A1	(NP(NP*)
             of	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
        several	        JJ	      B-NP	         O	              -	      B-A0	      I-A1	(NP(NP*
      residents	       NNS	      E-NP	         O	              -	      I-A0	      I-A1	*)
             on	        IN	      S-PP	         O	              -	      I-A0	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A0	      I-A1	(NP(NP*
         street	        NN	      E-NP	         O	              -	      E-A0	      I-A1	*)
            who	        WP	      S-NP	         O	              -	    S-R-A0	      I-A1	(SBAR(WHNP*)
            are	       VBP	      B-VP	         O	              -	         O	      I-A1	(S(VP*
        retired	       VBN	      E-VP	         O	        retired	       S-V	      E-A1	(VP*)))))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
            she	       PRP	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

            She	       PRP	      S-NP	         O	              -	      S-A0	      S-A0	         O	         O	         O	(S1(S(NP*)
          feels	       VBZ	      S-VP	         O	          feels	       S-V	         O	         O	         O	         O	(VP*
    exasperated	        JJ	    S-ADJP	         O	              -	      B-A1	         O	         O	         O	         O	(ADJP*
             by	        IN	      S-PP	         O	              -	      I-A1	         O	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	         O	         O	         O	         O	(NP*
           city	        NN	      I-NP	         O	              -	      I-A1	         O	         O	         O	         O	*
           ’s	        NN	      I-NP	         O	              -	      I-A1	         O	         O	         O	         O	*
       violence	        NN	      E-NP	         O	              -	      E-A1	         O	         O	         O	         O	*)))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	*
         saying	       VBG	      S-VP	         O	         saying	  B-AM-ADV	       S-V	         O	         O	         O	(S(VP*
            she	       PRP	      S-NP	         O	              -	  I-AM-ADV	      B-A1	      S-A0	         O	         O	(SBAR(S(NP*)
     wouldn’t	       VBD	      S-VP	         O	     wouldn’t	  I-AM-ADV	      I-A1	       S-V	         O	         O	(VP*
           mind	        NN	      S-NP	         O	              -	  I-AM-ADV	      I-A1	      S-A1	         O	         O	(NP*)
             if	        IN	    S-SBAR	         O	              -	  I-AM-ADV	      I-A1	  B-AM-ADV	         O	         O	(SBAR*
        federal	        JJ	      B-NP	         O	              -	  I-AM-ADV	      I-A1	  I-AM-ADV	      B-A1	      B-A0	(S(NP*
         agents	       NNS	      E-NP	         O	              -	  I-AM-ADV	      I-A1	  I-AM-ADV	      E-A1	      E-A0	*)
           were	       VBD	      B-VP	         O	              -	  I-AM-ADV	      I-A1	  I-AM-ADV	         O	         O	(VP*
           sent	       VBN	      E-VP	         O	           sent	  I-AM-ADV	      I-A1	  I-AM-ADV	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	  I-AM-ADV	      I-A1	  I-AM-ADV	      B-A2	         O	(S(VP*
           help	        VB	      E-VP	         O	           help	  I-AM-ADV	      I-A1	  I-AM-ADV	      I-A2	       S-V	(VP*
         police	        NN	      S-NP	         O	              -	  I-AM-ADV	      E-A1	  E-AM-ADV	      E-A2	      S-A1	(NP*
              .	         .	         O	         O	              -	  I-AM-ADV	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	  E-AM-ADV	         O	         O	         O	         O	*))))))))))))))))

              "	        IN	    S-SBAR	         O	              -	         O	         O	      B-A1	(S1(S(SBAR*
            You	       PRP	      S-NP	         O	              -	      S-A0	      S-A0	      I-A1	(S(NP*)
           just	        RB	    S-ADVP	         O	              -	  S-AM-ADV	         O	      I-A1	(ADVP*)
           want	       VBP	      B-VP	         O	           want	       S-V	         O	      I-A1	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	      I-A1	(S(VP*
           live	        VB	      E-VP	         O	           live	      I-A1	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-MNR	      I-A1	(PP*
          peace	        NN	      S-NP	         O	              -	      E-A1	  E-AM-MNR	      E-A1	(NP*))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
              "	        IN	    S-SBAR	         O	              -	         O	         O	         O	*
            she	       PRP	      S-NP	         O	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	*))

              "	        IN	    S-SBAR	         O	              -	         O	         O	(S1(X(SBAR*
           They	       PRP	      S-NP	         O	              -	      S-A0	         O	(S(NP*)
       shooting	       VBG	      S-VP	         O	       shooting	       S-V	         O	(VP*
           like	        IN	      S-PP	         O	              -	      B-A1	         O	(S(PP*
        someone	        NN	      B-NP	         O	              -	      I-A1	      B-A1	(NP*
           ’s	        NN	      E-NP	         O	              -	      E-A1	      E-A1	*))
          going	       VBG	      S-VP	         O	          going	         O	       S-V	(VP*
            out	        IN	      S-PP	         O	              -	         O	      B-A2	(PP*
             of	        IN	      S-PP	         O	              -	         O	      I-A2	(PP*
          their	      PRP$	      B-NP	         O	              -	         O	      I-A2	(NP*
           mind	        NN	      E-NP	         O	              -	         O	      E-A2	*))))))))
              .	         .	         O	         O	              -	         O	         O	*
              "	        ''	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	(S1(S(NP(NP*
          10:50	        CD	      I-NP	         O	              -	  I-AM-TMP	*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	*)
        Tuesday	       NNP	      S-NP	         O	              -	         O	(NP*)
             on	        IN	      S-PP	         O	              -	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	(NP*
          South	       NNP	      I-NP	     B-LOC	              -	         O	*
           Side	       NNP	      E-NP	     E-LOC	              -	         O	*)))
              ,	         ,	         O	         O	              -	         O	*
            the	        DT	      B-NP	         O	              -	      B-A1	(NP*
          fatal	        JJ	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      E-A1	*)
       happened	       VBD	      S-VP	         O	       happened	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
      Englewood	       NNP	      I-NP	     S-LOC	              -	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	*)))
              .	         .	         O	         O	              -	         O	*))

              A	        DT	      B-NP	         O	              -	         O	         O	(S1(S(NP*
        17-year	        JJ	      I-NP	         O	              -	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	         O	         O	*
            old	        JJ	      I-NP	         O	              -	         O	         O	*)
            boy	        NN	      E-NP	         O	              -	         O	         O	*)
            was	       VBD	      S-VP	         O	              -	         O	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	(NP(NP*
        20-year	        JJ	      I-NP	         O	              -	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	         O	         O	*
            old	        JJ	      I-NP	         O	              -	         O	         O	*)
            man	        NN	      E-NP	         O	              -	         O	         O	*)
             in	        IN	      S-PP	         O	              -	         O	         O	(PP*
             an	        DT	      B-NP	         O	              -	         O	         O	(NP*
          alley	        NN	      E-NP	         O	              -	         O	         O	*))
             in	        IN	      S-PP	         O	              -	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	(NP(NP*
           5600	        CD	      I-NP	         O	              -	         O	         O	*
          block	        NN	      E-NP	         O	              -	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
          South	       NNP	      B-NP	     B-LOC	              -	         O	         O	(NP*
      Elizabeth	       NNP	      I-NP	     I-LOC	              -	         O	         O	*
