     2017-03-19	        CD	      S-NP	         O	              -	(S1(NP*))

              7	        CD	      S-NP	         O	              -	      S-A1	(S1(ADJP(NP*)
        wounded	       VBN	      S-VP	         O	        wounded	       S-V	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           city	        NN	      B-NP	         O	              -	  I-AM-LOC	(NP*
      shootings	       NNS	      E-NP	         O	              -	  E-AM-LOC	*))))

          Seven	        CD	      B-NP	         O	              -	      B-A1	(S1(S(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
        wounded	       VBN	      E-VP	         O	        wounded	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
      shootings	       NNS	      S-NP	         O	              -	  I-AM-TMP	(NP(NP*)
           from	        IN	      S-PP	         O	              -	  I-AM-TMP	(PP*
         Sunday	       NNP	      S-NP	         O	              -	  I-AM-TMP	(NP*))
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	(PP*
          early	        JJ	      B-NP	         O	              -	  I-AM-TMP	(NP*
         Monday	       NNP	      E-NP	         O	              -	  E-AM-TMP	*))
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
           city	        NN	      E-NP	         O	              -	  I-AM-LOC	*
             's	       POS	      B-NP	         O	              -	  I-AM-LOC	*)
           West	       NNP	      E-NP	     S-LOC	              -	  I-AM-LOC	(ADJP*
            and	        CC	         O	         O	              -	  I-AM-LOC	*
      Northwest	       NNP	      B-NP	     S-LOC	              -	  I-AM-LOC	*)
           side	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))
              ,	         ,	         O	         O	              -	         O	*
      according	       VBG	      S-PP	         O	              -	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	(PP*
        Chicago	       NNP	      B-NP	     S-LOC	              -	         O	(NP*
         police	        NN	      I-NP	         O	              -	         O	*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	*)))))))

             In	        IN	      S-PP	         O	              -	  B-AM-LOC	      B-A1	(S1(S(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A1	(NP(NP*
        19-year	        JJ	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
              -	         :	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
            old	        JJ	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
            man	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A1	*)
           with	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP(NP*
        gunshot	        NN	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
          wound	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A1	*)
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
          chest	        NN	      E-NP	         O	              -	  E-AM-TMP	      E-A1	*))))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A0	         O	         O	      B-A1	(S1(S(S(NP*)
           told	       VBD	      S-VP	         O	           told	       S-V	         O	         O	      I-A1	(VP*
       officers	       NNS	      S-NP	         O	              -	      S-A2	         O	         O	      I-A1	(SBAR(S(NP(NP*)
             he	       PRP	      S-NP	         O	              -	      B-A1	      S-A0	      S-A0	      I-A1	(SBAR(S(NP*)
              "	       WDT	      B-VP	         O	              -	      I-A1	         O	         O	      I-A1	(ADJP*))))
          heard	       VBD	      E-VP	         O	          heard	      I-A1	       S-V	         O	      I-A1	(VP(VP*
          shots	       NNS	      S-NP	         O	              -	      I-A1	      S-A1	         O	      I-A1	(NP*))
            and	        CC	         O	         O	              -	      I-A1	         O	         O	      I-A1	*
           felt	       VBD	      S-VP	         O	           felt	      I-A1	         O	       S-V	      I-A1	(VP*
           pain	        NN	      S-NP	         O	              -	      E-A1	         O	      S-A1	      E-A1	(NP*)))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
             ''	        ''	         O	         O	              -	         O	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
            man	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
       critical	        JJ	      B-NP	         O	              -	  I-AM-LOC	(NP*
      condition	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
             to	        TO	      S-PP	         O	              -	  I-AM-LOC	(PP*
       Illinois	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
        Masonic	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
        Medical	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
         Center	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

        Earlier	       RBR	    S-ADVP	         O	              -	  S-AM-TMP	(S1(S(S(ADVP*)
              ,	         ,	         O	         O	              -	         O	*
         police	       NNS	      S-NP	         O	              -	      S-A0	(NP*)
         stated	       VBD	      S-VP	         O	         stated	       S-V	(VP(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	(SBAR(S(NP*
            man	        NN	      E-NP	         O	              -	      I-A1	*)
            was	       VBD	      S-VP	         O	              -	      I-A1	(VP*
             20	        CD	      S-NP	         O	              -	      I-A1	(NP*)))))
            and	        CC	         O	         O	              -	      I-A1	*
            was	       VBD	      S-VP	         O	              -	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	(PP*
           good	        JJ	      B-NP	         O	              -	      I-A1	(NP*
      condition	        NN	      E-NP	         O	              -	      E-A1	*)))))
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	(NP*)))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(S(NP(NP*
         person	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
       interest	        NN	      S-NP	         O	              -	      I-A1	(NP(NP*)
             in	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP*
         Albany	       NNP	      I-NP	     B-LOC	              -	      I-A1	*
           Park	       NNP	      I-NP	     E-LOC	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	*)))))
            was	       VBD	      S-VP	         O	              -	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	(PP*
        custody	        NN	      S-NP	         O	              -	      I-A1	(NP*))
        pending	       VBG	      S-PP	         O	              -	      I-A1	(NP*
        charges	       NNS	      S-NP	         O	              -	      E-A1	*)))
              ,	         ,	         O	         O	              -	         O	*
         police	        NN	      S-NP	         O	              -	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	*))

           Area	        NN	      B-NP	     B-ORG	              -	      B-A0	      B-A0	(S1(S(NP*
          North	        JJ	      I-NP	     E-ORG	              -	      I-A0	      I-A0	*
     detectives	       NNS	      E-NP	         O	              -	      E-A0	      E-A0	*)
       continue	       VBP	      B-VP	         O	       continue	       S-V	         O	(VP*
             to	        TO	      I-VP	         O	              -	    B-C-A1	         O	(S(VP*
    investigate	        VB	      E-VP	         O	    investigate	    E-C-A1	       S-V	(VP*))))
              .	         .	         O	         O	              -	         O	         O	*))

